Temperature density viscosity   Re
0.2528132077    0.35    0.1929466757    1.8139726878
0.1947713322    0.35    0.1736978986    2.0149927129
0.3110225439    0.35    0.2135558383    1.6389156243
0.2452032789    0.35    0.1882122892    1.8596022688
0.3698446002    0.35    0.2273652409    1.5393733831
0.2975336146    0.35    0.2059527988    1.6994185176
0.4217293612    0.35    0.2371954213    1.4755765439
0.3478687565    0.35    0.2153021313    1.6256225516
0.4776858167    0.35    0.2512968491    1.3927751233
0.3969609878    0.35    0.2244596208    1.5593005045
0.5294789665    0.35    0.2569434261    1.3621675609
0.447954871 0.35    0.2347817829    1.4907459839
0.5821577529    0.35    0.267707798 1.3073956104
0.4986292888    0.35    0.2559933321    1.3672231114
0.6360112527    0.35    0.2815930232    1.2429285216
0.5481051491    0.35    0.2575254823    1.3590888048
0.6857408818    0.35    0.2878827078    1.2157729191
0.5984384969    0.35    0.276586635 1.2654262922
0.7415137999    0.35    0.297907813 1.1748600899
0.6470198861    0.35    0.2798151779    1.2508256435
0.7881722225    0.35    0.3016679622    1.1602160118
0.756728433 0.35    0.2966173714    1.1799713494
0.8892766597    0.35    0.317639251 1.1018789362
0.851007062 0.35    0.3152498738    1.1102304207
0.9951875341    0.35    0.3280816868    1.0668074874
0.9457826679    0.35    0.3189786299    1.0972521893
1.0935267064    0.35    0.3496066023    1.0011252582
1.0524349773    0.35    0.3386106293    1.0336355971
1.192385935 0.35    0.3525729458    0.9927023732
2.0405443517    0.35    0.4274215444    0.8188637297
2.1864587795    0.35    0.4551155976    0.7690353876
0.1432950474    0.45    0.2374297687    1.8952973018
0.2528042055    0.45    0.290608603 1.5484744615
0.1951285988    0.45    0.2646702592    1.7002288103
0.3110251736    0.45    0.3096351084    1.4533235661
0.2460858777    0.45    0.2873988238    1.565768412
0.3670624002    0.45    0.3271053535    1.3757035623
0.2967684709    0.45    0.3052076374    1.4744060922
0.4219304849    0.45    0.3455191145    1.3023881489
0.349011008 0.45    0.3273948903    1.3744869371
0.4735311081    0.45    0.3565785966    1.2619938613
0.3969120075    0.45    0.3281646152    1.371263016
0.5283392341    0.45    0.369171516 1.2189456133
0.4476383861    0.45    0.346678231 1.2980336224
0.5778158424    0.45    0.3806518846    1.1821825091
0.4965302075    0.45    0.3582726341    1.256026716
0.6319766515    0.45    0.3936705247    1.143087866
0.5485233679    0.45    0.3773409322    1.1925554891
0.6826525523    0.45    0.3959476461    1.1365138913
0.5978473508    0.45    0.3784597263    1.1890300834
0.734344421 0.45    0.4129347316    1.0897605979
0.6502279976    0.45    0.3933136974    1.1441249135
0.7842290566    0.45    0.4179394697    1.0767109417
0.7471626083    0.45    0.404883397 1.1114311016
0.8873349032    0.45    0.4364231871    1.0311092841
0.848091132 0.45    0.4331071584    1.0390038384
0.9901602518    0.45    0.4533313121    0.9926514846
0.9477937195    0.45    0.4465804292    1.007657234
1.0907875955    0.45    0.4643637892    0.9690678094
1.0394525312    0.45    0.4474931119    1.0056020709
1.1846624091    0.45    0.4812988591    0.9349700118
2.041072139 0.45    0.5525080041    0.8144678387
2.1852568536    0.45    0.5889829899    0.7640288561
0.1456542061    0.55    0.3889881895    1.4139246765
0.2577943844    0.55    0.4515023357    1.2181553814
0.1977982635    0.55    0.4267378459    1.2888474862
0.3164349052    0.55    0.4779701547    1.1506994623
0.2481343503    0.55    0.452465067 1.2155634549
0.3728917873    0.55    0.4987004878    1.1028663766
0.2989691152    0.55    0.4683693026    1.1742870357
0.4257235525    0.55    0.515941149 1.0660130541
0.3496887091    0.55    0.4934955915    1.1144983045
0.4783772795    0.55    0.5338646073    1.0302237542
0.3984204307    0.55    0.5037228612    1.0918702373
0.529101368 0.55    0.5492812286    1.0013085672
0.4492157633    0.55    0.519845073 1.0580075267
0.5819490672    0.55    0.5596813837    0.982701973
0.4987880627    0.55    0.5440835356    1.0108741838
0.6336648265    0.55    0.5758204873    0.9551587901
0.5494814561    0.55    0.5485601978    1.0026246931
0.686453787 0.55    0.5867338482    0.9373926554
0.5986985898    0.55    0.5651030505    0.9732738118
0.7386332813    0.55    0.5994467872    0.917512633
0.6500565486    0.55    0.5754464142    0.955779698
0.7883434181    0.55    0.6069220635    0.9062119061
0.7471696502    0.55    0.5892098191    0.9334535546
0.8887783853    0.55    0.6259262757    0.8786977339
0.8476469681    0.55    0.6135840734    0.8963726796
0.9875259643    0.55    0.6449917303    0.8527241113
0.9476632325    0.55    0.6289759842    0.8744372023
1.086946815 0.55    0.6614872548    0.8314597085
1.0445280952    0.55    0.660468299 0.8327424659
1.187755161 0.55    0.6667891064    0.8248485087
