192,5.1299,6.8399,6.8399,4.0499,4.2618,0.56546,0.18177,11000
300,5.1299,8.5499,8.5499,4.0027,4.254,0.49532,0.15955,11000
432,5.1299,10.26,10.26,4.0478,4.2658,0.46113,0.13897,11000
588,5.1299,11.97,11.97,4.0793,4.2708,0.3862,0.11731,11000
768,5.1299,13.68,13.68,4.0908,4.263,0.3753,0.099236,11000
972,5.1299,15.39,15.39,4.0955,4.2845,0.3685,0.08989,11000
1200,5.1299,17.1,17.1,4.0922,4.2817,0.35118,0.076178,11000
2012,2,10,14,59,8.8675
2012,2,10,14,59,52.449
864,10.26,10.26,10.26,4.1279,4.2832,0.36673,0.092744,23000
1176,10.26,11.97,11.97,4.1376,4.2857,0.32818,0.083922,25000
1536,10.26,13.68,13.68,4.158,4.2887,0.30129,0.06853,27000
1944,10.26,15.39,15.39,4.1702,4.2879,0.27887,0.059017,29000
2400,10.26,17.1,17.1,4.1698,4.2918,0.27206,0.05514,31000
2904,10.26,18.81,18.81,4.1753,4.2872,0.25168,0.050508,33000
3456,10.26,20.52,20.52,4.1828,4.2871,0.24167,0.045463,35000
4056,10.26,22.23,22.23,4.1909,4.2877,0.22949,0.042283,37000
4704,10.26,23.94,23.94,4.1925,4.2881,0.22351,0.040705,39000
5400,10.26,25.65,25.65,4.1887,4.288,0.21632,0.037039,41000
6144,10.26,27.36,27.36,4.2011,4.2888,0.20413,0.034659,43000
6936,10.26,29.07,29.07,4.1934,4.288,0.19894,0.031606,45000
7776,10.26,30.78,30.78,4.1982,4.2885,0.19013,0.03144,47000
8664,10.26,32.49,32.49,4.1978,4.2874,0.18298,0.027923,49000
9600,10.26,34.2,34.2,4.205,4.2892,0.18115,0.027278,51000
2012,2,10,18,38,13.029
108,5.1299,5.1299,5.1299,3.9876,4.2639,0.67334,0.24222,17000
192,5.1299,6.8399,6.8399,4.0122,4.259,0.56632,0.19028,19000
300,5.1299,8.5499,8.5499,4.0311,4.2609,0.51169,0.15546,21000
432,5.1299,10.26,10.26,4.052,4.2753,0.46893,0.13203,23000
588,5.1299,11.97,11.97,4.0734,4.2757,0.41793,0.11064,25000
768,5.1299,13.68,13.68,4.0895,4.2751,0.38499,0.099575,27000
972,5.1299,15.39,15.39,4.1047,4.2802,0.37647,0.087894,29000
1200,5.1299,17.1,17.1,4.1115,4.2777,0.35024,0.07608,31000
1452,5.1299,18.81,18.81,4.1164,4.2839,0.33538,0.070969,33000
1728,5.1299,20.52,20.52,4.1327,4.2815,0.31777,0.0659,35000
2028,5.1299,22.23,22.23,4.1299,4.2783,0.29846,0.059144,37000
2352,5.1299,23.94,23.94,4.1321,4.2823,0.2884,0.054929,39000
2700,5.1299,25.65,25.65,4.1319,4.2821,0.28462,0.053105,41000
3072,5.1299,27.36,27.36,4.1402,4.2817,0.27699,0.04765,43000
3468,5.1299,29.07,29.07,4.1347,4.2836,0.26698,0.046603,45000
